Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Afghanistan,AFG,1990,YR1990,..,..,0.00999999977648258,52.0369758605957,1.88411277331996,764,67.7304964539007,6312.392,15.9245316828932,1128,39639.42002
Afghanistan,AFG,1991,YR1991,..,..,0.00999999977648258,53.8098373413086,1.99591306318908,690,67.9802955665025,6361.651,17.0364435282942,1015,37341.426275
Afghanistan,AFG,1992,YR1992,..,..,0.00999999977648258,55.5825233459473,1.33250174740999,478,67.9943100995733,6546.363,26.5216286544368,703,24683.11085
Afghanistan,AFG,1993,YR1993,..,..,0.00999999977648258,57.3541793823242,1.76063654184963,475,68.3453237410072,7849.649,30.5856670489932,695,25664.468875
Afghanistan,AFG,1994,YR1994,..,..,0.00999999977648258,59.1237754821777,2.24561299646338,472,68.7045123726346,8305.308,32.7962505504008,687,25323.95582
Afghanistan,AFG,1995,YR1995,..,..,0.00999999977648258,60.8902778625488,1.48569193557955,466,69.037037037037,8771.985,35.0756402917937,675,25008.76656
Afghanistan,AFG,1996,YR1996,..,..,0.00999999977648258,62.652660369873,1.54847691566463,475,70.3703703703704,9304.887,37.9457475001443,675,24521.554095
Afghanistan,AFG,1997,YR1997,..,..,0.00999999977648258,64.4098892211914,1.59923664309762,485,72.3880597014925,9861.213,41.4326008731029,670,23800.613025
Afghanistan,AFG,1998,YR1998,..,..,0.0219771377742291,66.1609344482422,1.64897788583862,495,74.4360902255639,10254.29,44.0943368543633,665,23255.344635
Afghanistan,AFG,1999,YR1999,..,..,0.179634585976601,67.9047622680664,1.57068110175532,505,73.7226277372263,10765.99,52.1857743728053,685,20630.12407
Afghanistan,AFG,2000,YR2000,8.8,..,0.959755897521973,69.640983581543,1.68617312382687,515.7,74.9890940817217,11301.39,54.2431263698384,687.7,20834.695115
Afghanistan,AFG,2001,YR2001,9.51,..,0.77653694152832,71.3717803955078,1.8273988865553,503.2,72.8114599913182,11510.28,54.0550550388989,691.1,21293.62368
Afghanistan,AFG,2002,YR2002,10.39,..,6.26739358901977,73.099967956543,1.36028256182598,571,79.0639711991138,11997.1,43.7711485658802,722.2,27408.69361
Afghanistan,AFG,2003,YR2003,11.46,..,11.7519664764404,74.8283538818359,1.32502825287787,647,70.2497285559175,12635.1,42.2761408803626,976,29887.07043
Afghanistan,AFG,2004,YR2004,12.43,..,17.2363185882568,76.5597610473633,1.14399635836639,565,70.8908406524467,12869.72,49.8431476956196,780,25820.43991
Afghanistan,AFG,2005,YR2005,13.49,13,23,74,1.26764724208131,671,74.0618101545254,13245.71,40.8591712168299,906,32417.960535
Afghanistan,AFG,2006,YR2006,14.81,12.5438634739485,28.2286128997803,80.0428924560547,1.40862313227307,646,70.7557502738226,14324.37,37.1372494911803,913,38571.43487
Afghanistan,AFG,2007,YR2007,15.99,18.9162228544509,33.7486801147461,81.8002548217774,1.46093757483826,684,72,15270.5,33.8625788265031,950,45095.50226
Afghanistan,AFG,2008,YR2008,17.44,32.5,42.4,89.9,2.14758991176544,541,68.6548223350254,15312.85,21.3437080759002,788,71744.09407
Afghanistan,AFG,2009,YR2009,18.84,31.8451566296939,44.8548851013184,85.3545074462891,2.61706039799516,775,87.1766029246344,16854.19,17.8138547564602,889,94612.818115
Afghanistan,AFG,2010,YR2010,20.68,32.4,42.7,82.8,2.93993655831435,767,85.9865470852018,19578.7,14.8398059645804,892,131933.665755
Afghanistan,AFG,2011,YR2011,22.33,33.3801103938629,43.2220189082037,86.5677791512155,3.7559233122206,829,82.4875621890547,20435.21,11.4827062291243,1005,177965.10328
Afghanistan,AFG,2012,YR2012,24.08,63.8,69.1,95,2.98475717572819,878,85.9099804305284,22561.36,13.9735856888609,1022,161457.19862
Afghanistan,AFG,2013,YR2013,26.17,58.4236674312945,67.2595520019531,92.5772933959961,2.75118171303033,803.9,78.6364080993837,22073.09,16.3342925084743,1022.3,135133.431635
Afghanistan,AFG,2014,YR2014,27.99,87.8,89.5,98.7,2.63753256874586,895.3,85.3235490326885,24448.73,19.3142686133983,1049.3,126583.77332
Afghanistan,AFG,2015,YR2015,30.1,64.2,71.5,92.5,2.45770500221765,889.5,86.0501112508465,25134.53,18.4234771693218,1033.7,136426.63526
Afghanistan,AFG,2016,YR2016,32.44,78.9610743548116,84.1371383666992,98.0384140014648,..,..,..,..,..,..,..
Albania,ALB,1990,YR1990,..,100,100,100,7.91224319575929,2848,86.4077669902913,20429.18,25.5180876255371,3296,80057.644992
Albania,ALB,1991,YR1991,..,100,100,100,7.86689333061773,3518,92.1424829753798,19426.18,32.9981742379589,3818,58870.469196
Albania,ALB,1992,YR1992,..,100,100,100,6.15327482195976,3226,95.0500883912787,20011.42,46.8133288085849,3394,42747.269868
Albania,ALB,1993,YR1993,..,100,100,100,5.50133730915865,3314,93.9076225559649,20083.32,51.152042295146,3529,39262.010076
Albania,ALB,1994,YR1994,..,100,100,100,5.40208455962668,3771,95.686374016747,20176.84,51.4595442246242,3941,39209.130792
Albania,ALB,1995,YR1995,..,100,100,100,4.47854695486581,4204,93.9861390565616,20067.28,50.6097095765374,4473,39651.047532
Albania,ALB,1996,YR1996,..,100,100,100,4.38099071821597,5726,95.7204948177867,22131.96,51.63636055808,5982,42861.192696
Albania,ALB,1997,YR1997,..,100,100,100,4.19322072957328,5028,96.1744452945677,19324.63,55.953349416169,5228,34537.038804
Albania,ALB,1998,YR1998,..,100,100,100,4.24086414788511,4921,96.3202192209826,19245.59,49.9833654433978,5109,38503.989936
Albania,ALB,1999,YR1999,..,100,100,100,5.01370938014992,5284,97.3291582243507,26143.27,42.7183134087746,5429,61199.209224
Albania,ALB,2000,YR2000,39.8,100,100,100,4.70543745478217,4594,96.1490163248221,25572.2,41.4454155743781,4778,61700.913468
Albania,ALB,2001,YR2001,42.7,100,100,100,4.44333927069421,3555,95.3083109919571,24717,39.1256637546099,3730,63173.36916
Albania,ALB,2002,YR2002,45.23,100,100,100,4.69696080798613,3512,93.9539860888176,25840.23,35.8962940284486,3738,71985.787668
Albania,ALB,2003,YR2003,47.62,100,100,100,4.34437721419277,4885,97.8565705128205,23778.51,33.7527288306467,4992,70449.148332
Albania,ALB,2004,YR2004,50.53,100,100,100,4.51718737428514,5466,97.5026757046022,28505.72,35.935868087458,5606,79323.866424
Albania,ALB,2005,YR2005,53.25,100,100,100,4.27571653292244,5373,98.713944515892,28076.17,36.8694891867287,5443,76150.14642
Albania,ALB,2006,YR2006,55.57,100,100,100,3.95869306438034,5431,98.3164373642288,22033.78,31.7101954257698,5524,69484.844556
Albania,ALB,2007,YR2007,58.14,100,100,100,3.56830033075486,2788,97.4825174825175,22144.92,32.1009372127814,2860,68985.27558
Albania,ALB,2008,YR2008,60.75,100,100,100,3.44266337837328,3797,100,25902.98,35.9129061124767,3797,72127.217772
Albania,ALB,2009,YR2009,63.24,100,100,100,3.40910494349766,5201,99.9807766243752,28426.24,37.2166378004051,5202,76380.462288
Albania,ALB,2010,YR2010,65.23,100,100,100,3.25674823642822,7567,99.9867864693446,29286.06,37.1153297675702,7568,78905.563236
Albania,ALB,2011,YR2011,67.81,100,100,100,3.32280096667451,4132,98.5922214268671,29278.34,35.9625316031337,4191,81413.456436
Albania,ALB,2012,YR2012,69.96,100,100,100,2.94132361651685,4725,100,29877.97,40.048299596384,4725,74604.840408
Albania,ALB,2013,YR2013,71.78,100,100,100,3.38252848875172,6959,100,33755.15,41.2889737241069,6959,81753.424596
Albania,ALB,2014,YR2014,73.98,100,100,100,3.15887895342285,4724,100,33160.59,38.6895007576277,4724,85709.531916
Albania,ALB,2015,YR2015,75.37,100,100,100,2.88661148238797,5895,100,31555.45,38.6152104692153,5895,81717.669324
Albania,ALB,2016,YR2016,77.42,100,100,100,..,..,..,..,..,..,..
Algeria,DZA,1990,YR1990,..,96.3923147500308,98.2713775634766,100,3.50093477590024,135,0.838301043219076,811.7773,0.177228302572834,16104,458040.441744
Algeria,DZA,1991,YR1991,..,96.5578932445723,98.3777694702148,100,3.7481613573049,293,1.68924762179302,1618.042,0.323692176020233,17345,499870.593072
Algeria,DZA,1992,YR1992,..,96.728001617667,98.4836578369141,100,3.76885485095906,199,1.08826424587116,1475.022,0.289771220945935,18286,509029.846092
Algeria,DZA,1993,YR1993,..,96.8975201056089,98.5864791870117,100,3.86342433397712,353,1.81827547130936,2476.945,0.476341507213619,19414,519993.526176
Algeria,DZA,1994,YR1994,..,97.0594436083998,98.6831893920898,100,3.7577391174699,166,0.834884071820148,2003.401,0.403959587292277,19883,495940.946328
